Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
6.5_5,M,LA,PP,7,-26.667,1.867,-31.8,2.924,-0.519,2.799,-0.643,9,2.952,9.448,3.4
6.5_7,M,LA,PP,5,-28.667,-0.133,-33.8,2.714,-0.729,2.589,-0.853,6,-0.048,6.448,0.4
7_3,M,LA,PP,8,-25.667,2.867,-30.8,2.893,-0.55,2.768,-0.674,7,0.952,7.448,1.4
7.5_4,M,LA,PP,7,-26.667,1.867,-31.8,2.713,-0.73,2.588,-0.854,9,2.952,9.448,3.4
8_7,M,LA,PP,11,-22.667,5.867,-27.8,2.689,-0.754,2.564,-0.878,7,0.952,7.448,1.4
9_6,M,LA,PP,6,-27.667,0.867,-32.8,2.788,-0.655,2.663,-0.779,8,1.952,8.448,2.4
9_20,M,LA,PP,4,-29.667,-1.133,-34.8,2.817,-0.626,2.692,-0.75,5,-1.048,5.448,-0.6
12_2,M,LA,EP,8,-26.957,2.207,-32.75,2.893,-0.565,2.833,-0.624,6,-0.217,5.717,-0.5
12_3,M,LA,EP,3,-31.957,-2.793,-37.75,2.845,-0.613,2.785,-0.672,7,0.783,6.717,0.5
12_4,M,LA,EP,8,-26.957,2.207,-32.75,2.682,-0.776,2.622,-0.835,7,0.783,6.717,0.5
12.5_1,M,LA,EP,9,-25.957,3.207,-31.75,2.836,-0.622,2.776,-0.681,7,0.783,6.717,0.5
13_1,M,LA,EP,6,-28.957,0.207,-34.75,2.746,-0.712,2.686,-0.771,7,0.783,6.717,0.5
13_2,M,LA,EP,8,-26.957,2.207,-32.75,3.217,-0.241,,,8,1.783,7.717,1.5
13_3,M,LA,EP,6,-28.957,0.207,-34.75,2.759,-0.699,2.699,-0.758,7,0.783,6.717,0.5
13.5_1,M,LA,EP,5,-29.957,-0.793,-35.75,2.825,-0.633,2.765,-0.692,7,0.783,6.717,0.5
14_1,M,LA,EP,9,-25.957,3.207,-31.75,2.895,-0.563,2.835,-0.622,8,1.783,7.717,1.5
14.5_1,M,LA,EP,11,-23.957,5.207,-29.75,2.556,-0.902,2.496,-0.961,8,1.783,7.717,1.5
15.5_1,M,LA,EP,7,-27.957,1.207,-33.75,2.578,-0.88,2.518,-0.939,7,0.783,6.717,0.5
0_4,H,control,CWP,15,-19.583,27.417,-7.167,3.351,-0.093,3.541,0.097,5,-1.208,5.542,-0.667
1_2,H,control,CWP,21,-13.583,33.417,-1.167,3.527,0.083,3.717,0.273,5,-1.208,5.542,-0.667
2.5_9,H,control,CWP,19,-15.583,31.417,-3.167,3.205,-0.239,3.395,-0.049,6,-0.208,6.542,0.333
2.5_11,H,control,CWP,31,-3.583,43.417,8.833,3.112,-0.332,3.302,-0.142,6,-0.208,6.542,0.333
3.5_1,H,control,CWP,15,-19.583,27.417,-7.167,3.133,-0.311,3.323,-0.121,6,-0.208,6.542,0.333
3.5_2,H,control,CWP,32,-2.583,44.417,9.833,3.195,-0.249,3.385,-0.059,6,-0.208,6.542,0.333
6_2,H,control,PP,30,-3.667,37.952,4.286,3.131,-0.312,3.228,-0.215,6,-0.048,6.19,0.143
6_3,H,control,PP,22,-11.667,29.952,-3.714,3.365,-0.078,3.462,0.019,6,-0.048,6.19,0.143
7_5,H,control,PP,27,-6.667,34.952,1.286,3.477,0.034,3.574,0.131,6,-0.048,6.19,0.143
7.5_4,H,control,PP,20,-13.667,27.952,-5.714,3.118,-0.325,3.215,-0.228,6,-0.048,6.19,0.143
9_20,H,control,PP,27,-6.667,34.952,1.286,3.437,-0.006,3.534,0.091,5,-1.048,5.19,-0.857
9.5_1,H,control,PP,30,-3.667,37.952,4.286,3.372,-0.071,3.469,0.026,6,-0.048,6.19,0.143
9.5_3,H,control,PP,24,-9.667,31.952,-1.714,3.52,0.077,3.617,0.174,6,-0.048,6.19,0.143
12_3,H,control,EP,22,-12.957,28.123,-6.833,3.199,-0.259,3.344,-0.114,6,-0.217,6.717,0.5
