Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
13_1,A,LALC,EP,9,-25.957,10.068,-24.889,2.839,-0.619,2.796,-0.662,7,0.783,6.773,0.556
13_2,A,LALC,EP,6,-28.957,7.068,-27.889,2.943,-0.515,2.9,-0.558,10,3.783,9.773,3.556
13_3,A,LALC,EP,10,-24.957,11.068,-23.889,2.627,-0.831,2.584,-0.874,8,1.783,7.773,1.556
13.5_1,A,LALC,EP,10,-24.957,11.068,-23.889,2.547,-0.911,2.504,-0.954,8,1.783,7.773,1.556
14.5_1,A,LALC,EP,5,-29.957,6.068,-28.889,2.904,-0.554,2.861,-0.597,11,4.783,10.773,4.556
15.5_1,A,LALC,EP,7,-27.957,8.068,-26.889,2.469,-0.989,2.426,-1.032,7,0.783,6.773,0.556
0_1,M,control,CWP,54,19.417,49.833,15.25,3.605,0.161,3.587,0.143,7,0.792,6.958,0.75
0_2,M,control,CWP,29,-5.583,24.833,-9.75,3.365,-0.079,3.347,-0.097,6,-0.208,5.958,-0.25
0_4,M,control,CWP,24,-10.583,19.833,-14.75,3.641,0.197,3.623,0.179,5,-1.208,4.958,-1.25
2_1,M,control,CWP,50,15.417,45.833,11.25,3.641,0.197,3.623,0.179,7,0.792,6.958,0.75
2.5_9,M,control,CWP,40,5.417,35.833,1.25,3.45,0.006,3.432,-0.012,5,-1.208,4.958,-1.25
2.5_11,M,control,CWP,38,3.417,33.833,-0.75,3.062,-0.382,3.044,-0.4,8,1.792,7.958,1.75
3.5_1,M,control,CWP,38,3.417,33.833,-0.75,3.646,0.202,3.628,0.184,7,0.792,6.958,0.75
3.5_15,M,control,CWP,37,2.417,32.833,-1.75,3.287,-0.157,3.269,-0.175,5,-1.208,4.958,-1.25
6_2,M,control,PP,42,8.333,36.867,3.2,3.45,0.007,3.325,-0.117,7,0.952,7.448,1.4
6_3,M,control,PP,35,1.333,29.867,-3.8,3.376,-0.067,3.251,-0.191,5,-1.048,5.448,-0.6
7_5,M,control,PP,37,3.333,31.867,-1.8,3.855,0.412,3.73,0.288,5,-1.048,5.448,-0.6
7.5_4,M,control,PP,39,5.333,33.867,0.2,3.517,0.074,3.392,-0.05,5,-1.048,5.448,-0.6
9.5_1,M,control,PP,41,7.333,35.867,2.2,3.639,0.196,3.514,0.072,6,-0.048,6.448,0.4
12_3,M,control,EP,55,20.043,49.207,14.25,3.503,0.045,3.443,-0.014,7,0.783,6.717,0.5
12_4,M,control,EP,44,9.043,38.207,3.25,3.613,0.155,3.553,0.096,6,-0.217,5.717,-0.5
