"","Treatment","Lake_Phase","emmean","SE","df","lower.CL","upper.CL"
"1","control","Eutrophic",11.64026828125,0.558269999213907,70,10.5268338764293,12.7537026860707
"2","PHE","Eutrophic",7.030996875,1.11653999842782,70,4.80412806535862,9.25786568464138
"3","control","Pesticide",10.4435247368421,0.512303686270306,70,9.42176725244742,11.4652822212368
"4","PHE","Pesticide",6.15352749999999,1.28926933730657,70,3.58216088660714,8.72489411339285
"5","control","Recovery",14.2367914705882,0.541601452793512,70,13.1566014333477,15.3169815078288
"6","PHE","Recovery",8.51161249999999,1.57902600870865,70,5.36234442777953,11.6608805722205
"7","control","Semi-Pristine",13.23970875,0.596815733249428,70,12.0493973027184,14.4300201972816
"8","PHE","Semi-Pristine",10.1706075,1.28926933730657,70,7.59924088660714,12.7419741133929
